province_code,year_be,has_actual_data,generated_ton_day,recycled_ton_day,disposed_correct_ton_day,disposed_incorrect_ton_day,residual_ton,pct_recycled,pct_disposed_correct,pct_disposed_incorrect,generated_million_ton_yr,recycled_million_ton_yr,disposed_correct_million_ton_yr,disposed_incorrect_million_ton_yr,residual_million_ton_yr
64,2556,True,518.22,107.15,4.29,406.78,79753.0,20.68,0.83,78.5,0.19,0.04,0.0,0.15,0.08
1,2556,True,11335.0,1410.0,9925.0,0.0,0.0,12.44,87.56,0.0,4.14,0.51,3.63,0.0,0.0
56,2556,True,839.53,115.72,17.89,705.92,1658387.35,13.78,2.13,84.09,0.31,0.04,0.01,0.26,1.66
34,2556,True,979.02,270.16,153.25,555.61,45369.65,27.59,15.65,56.75,0.36,0.1,0.06,0.2,0.04
49,2556,True,669.75,173.38,98.62,397.75,14095.44,25.89,14.72,59.39,0.24,0.06,0.04,0.14,0.01
28,2556,True,1912.21,608.23,199.28,1104.7,723691.68,31.81,10.42,57.77,0.7,0.22,0.08,0.4,0.72
13,2556,True,582.67,142.85,180.76,259.06,80115.0,24.52,31.02,44.46,0.21,0.05,0.07,0.09,0.08
15,2556,True,788.31,113.49,13.34,661.48,202753.2,14.4,1.69,83.91,0.29,0.04,0.01,0.24,0.2
11,2556,True,2349.89,318.72,1029.62,1001.55,501635.0,13.56,43.82,42.62,0.86,0.12,0.38,0.36,0.5
9,2556,True,329.97,90.35,56.4,183.22,346092.0,27.38,17.09,55.53,0.12,0.03,0.02,0.07,0.35
25,2556,True,1096.14,288.31,103.91,703.92,30101.1,26.3,9.48,64.22,0.4,0.11,0.04,0.25,0.03
69,2556,True,368.94,7.77,45.68,315.49,235008.75,2.11,12.38,85.51,0.13,0.0,0.02,0.11,0.24
72,2556,True,659.24,223.59,23.9,411.75,77919.39,33.92,3.63,62.46,0.24,0.08,0.01,0.15,0.08
14,2556,True,255.64,56.1,53.86,145.68,20895.0,21.94,21.07,56.99,0.09,0.02,0.02,0.05,0.02
50,2556,True,619.75,191.77,0.0,427.98,93560.7,30.94,0.0,69.06,0.23,0.07,0.0,0.16,0.1
17,2556,True,258.99,56.71,96.92,105.36,120520.0,21.9,37.42,40.68,0.09,0.02,0.03,0.04,0.12
58,2556,True,967.41,198.91,161.74,606.76,340585.0,20.56,16.72,62.72,0.35,0.07,0.06,0.22,0.34
36,2556,True,596.02,109.94,6.5,479.58,47703.21,18.45,1.09,80.46,0.22,0.04,0.0,0.18,0.05
19,2556,True,2692.49,279.98,513.69,1898.82,460002.38,10.4,19.08,70.52,0.98,0.1,0.19,0.69,0.46
63,2556,True,1042.01,15.78,22.7,1003.53,1265358.0,1.51,2.18,96.31,0.38,0.01,0.01,0.36,1.27
47,2556,True,1084.37,273.56,312.64,498.17,17190.0,25.23,28.83,45.94,0.4,0.11,0.11,0.18,0.02
3,2556,True,1541.73,320.38,1221.35,0.0,0.0,20.78,79.22,0.0,0.56,0.12,0.44,0.0,0.0
76,2556,True,711.07,255.04,36.81,449.22,79096.0,35.87,5.18,63.18,0.26,0.08,0.01,0.17,0.08
43,2556,True,444.57,152.53,70.07,221.97,28389.89,34.31,15.76,49.93,0.16,0.06,0.03,0.07,0.03
77,2556,True,354.13,112.78,38.59,202.76,18000.17,31.85,10.9,57.26,0.13,0.04,0.01,0.08,0.02
20,2556,True,1575.09,94.7,87.51,1392.88,124736.48,6.01,5.56,88.43,0.57,0.03,0.03,0.51,0.12
4,2556,True,1471.41,138.77,0.0,1332.64,121893.0,9.43,0.0,90.57,0.54,0.05,0.0,0.49,0.12
62,2556,True,595.52,111.91,121.36,362.25,546356.48,18.79,20.38,60.83,0.22,0.04,0.04,0.14,0.55
